"Type","Consumed","ShortType","Vintage","Color","Category","Varietal","Country"
"Red","28.7.2025","Drank","2022","Red","Dry","Malbec","Argentina"
"Ros�","27.7.2025","Drank","2024","Ros�","Dry","Ros� Blend","France"
"Red - Sparkling","27.7.2025","Drank","2023","Red","Sparkling","Brachetto","Italy"
"Red","27.7.2025","Drank","2019","Red","Dry","Carignan Blend","Italy"
"Red","26.7.2025","Drank","2020","Red","Dry","Bovale","Italy"
"Red","25.7.2025","Drank","2020","Red","Dry","Corvina Blend","Italy"
"Red","12.7.2025","Drank","2019","Red","Dry","Sangiovese Blend","Italy"
"Ros�","11.7.2025","Drank","2024","Ros�","Dry","Ros� Blend","France"
"Red","10.7.2025","Drank","2017","Red","Dry","Nero d'Avola","Italy"
"White - Off-dry","9.7.2025","Drank","2018","White","Dry","Riesling","Germany"
"Red","7.7.2025","Drank","2021","Red","Dry","Red Rhone Blend","France"
"White - Sparkling","6.7.2025","Drank","2024","White","Sparkling","Moscato","Italy"
"Ros� - Sparkling","6.7.2025","Drank","1001","Ros�","Sparkling","Champagne Blend","France"
"White","6.7.2025","Drank","2016","White","Dry","Riesling","France"
"Red","6.7.2025","Drank","2017","Red","Dry","Red Blend","Italy"
"Red","5.7.2025","Drank","2020","Red","Dry","Corvina Blend","Italy"
"Red","4.7.2025","Drank","2013","Red","Dry","Sangiovese","Italy"
"Ros�","3.7.2025","Drank","2023","Ros�","Dry","Ros� Blend","France"
"White - Sparkling","2.7.2025","Drank","2023","White","Sparkling","Moscato","Italy"
"Red","2.7.2025","Drank","2022","Red","Dry","Cabernet Sauvignon","USA"
"Red","1.7.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red - Sparkling","30.6.2025","Drank","2023","Red","Sparkling","Brachetto","Italy"
"White","30.6.2025","Drank","2019","White","Dry","White Rhone Blend","France"
"Red","29.6.2025","Drank","2020","Red","Dry","Red Blend","Chile"
"Red","28.6.2025","Drank","2020","Red","Dry","Corvina Blend","Italy"
"Red","27.6.2025","Drank","2021","Red","Dry","Cabernet Sauvignon","USA"
"Red","21.6.2025","Drank","2020","Red","Dry","Corvina Blend","Italy"
"White - Sparkling","20.6.2025","Drank","1001","White","Sparkling","Champagne Blend","France"
"Red","20.6.2025","Drank","2016","Red","Dry","Tempranillo Blend","Spain"
"Red - Fortified","20.6.2025","Drank","2010","Red","Fortified","Grenache Blend","France"
"Red","19.6.2025","Drank","2019","Red","Dry","Malbec","Argentina"
"White","18.6.2025","Drank","2020","White","Dry","Pinot Bianco","Italy"
"Red","14.6.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","13.6.2025","Drank","2012","Red","Dry","Nebbiolo","Italy"
"Red","7.6.2025","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","6.6.2025","Drank","2018","Red","Dry","Primitivo","Italy"
"Red","31.5.2025","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Red","24.5.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","23.5.2025","Drank","2016","Red","Dry","Sangiovese","Italy"
"Red","17.5.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","16.5.2025","Drank","2018","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","10.5.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Ros�","9.5.2025","Drank","2023","Ros�","Dry","Ros� Blend","France"
"Red","9.5.2025","Drank","2016","Red","Dry","Tempranillo Blend","Spain"
"Red","3.5.2025","Drank","2021","Red","Dry","Corvina Blend","Italy"
"Red","2.5.2025","Drank","2016","Red","Dry","Sangiovese","Italy"
"Red","1.5.2025","Drank","2020","Red","Dry","Corvina Blend","Italy"
"White - Sparkling","30.4.2025","Drank","1001","White","Sparkling","Champagne Blend","France"
"Red","20.4.2025","Drank","2020","Red","Dry","Nebbiolo","Italy"
"White - Sweet/Dessert","19.4.2025","Drank","2019","White","Sweet/Dessert","Zibibbo","Italy"
"Red","19.4.2025","Drank","2012","Red","Dry","Sangiovese","Italy"
"Red","19.4.2025","Drank","2013","Red","Dry","Sangiovese Blend","Italy"
"Red","18.4.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","18.4.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","17.4.2025","Drank","2017","Red","Dry","Red Bordeaux Blend","France"
"Red","13.4.2025","Drank","2018","Red","Dry","Merlot","France"
"Red","11.4.2025","Drank","2018","Red","Dry","Barbera","Italy"
"Red","5.4.2025","Drank","2021","Red","Dry","Corvina Blend","Italy"
"Red","4.4.2025","Drank","2017","Red","Dry","Red Bordeaux Blend","Italy"
"Red","29.3.2025","Drank","2013","Red","Dry","Sangiovese Blend","Italy"
"Red","28.3.2025","Drank","2019","Red","Dry","Carignan Blend","Spain"
"Red","22.3.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","21.3.2025","Drank","2021","Red","Dry","Cabernet Sauvignon","USA"
"White","20.3.2025","Drank","2021","White","Dry","Sauvignon Blanc","New Zealand"
"Red","15.3.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","14.3.2025","Drank","2019","Red","Dry","Zinfandel","USA"
"Red","8.3.2025","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","7.3.2025","Drank","2014","Red","Dry","Grenache Blend","Spain"
"Red","1.3.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","28.2.2025","Drank","2016","Red","Dry","Malbec Blend","Argentina"
"Red","27.2.2025","Drank","2016","Red","Dry","Red Bordeaux Blend","France"
"Red","22.2.2025","Drank","2015","Red","Dry","Corvina Blend","Italy"
"Red","20.2.2025","Drank","2018","Red","Dry","Zinfandel","USA"
"Red","19.2.2025","Drank","2016","Red","Dry","Sangiovese","Italy"
"Red","18.2.2025","Drank","2022","Red","Dry","Malbec","Argentina"
"Red","15.2.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","8.2.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","7.2.2025","Drank","2013","Red","Dry","Sangiovese Blend","Italy"
"Red","1.2.2025","Drank","2019","Red","Dry","Nero d'Avola","Italy"
"Red","1.2.2025","Drank","2021","Red","Dry","Red Rhone Blend","France"
"Red","1.2.2025","Drank","2020","Red","Dry","Corvina Blend","Italy"
"Ros�","1.2.2025","Drank","2023","Ros�","Dry","Ros� Blend","France"
"Red","31.1.2025","Drank","2017","Red","Dry","Red Rhone Blend","France"
"Red","25.1.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","24.1.2025","Drank","2016","Red","Dry","Red Bordeaux Blend","France"
"Red","18.1.2025","Drank","2015","Red","Dry","Corvina Blend","Italy"
"Red","17.1.2025","Drank","2018","Red","Dry","Merlot","France"
"Red","11.1.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","10.1.2025","Drank","2011","Red","Dry","Nebbiolo","Italy"
"Red","5.1.2025","Drank","2021","Red","Dry","Cabernet Sauvignon","USA"
"Red","4.1.2025","Missing","2019","Red","Dry","Corvina Blend","Italy"
"Red","4.1.2025","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","3.1.2025","Drank","2021","Red","Dry","Menc�a","Spain"
"Red","2.1.2025","Drank","2022","Red","Dry","Malbec","Argentina"
"Red","31.12.2024","Drank","2021","Red","Dry","Red Rhone Blend","France"
"White","31.12.2024","Drank","2021","White","Dry","Sauvignon Blanc","France"
"Red - Fortified","31.12.2024","Drank","1001","Red","Fortified","Port Blend","Portugal"
"Red","30.12.2024","Drank","2018","Red","Dry","Nero d'Avola","Italy"
"Red","29.12.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","27.12.2024","Drank","2013","Red","Dry","Sangiovese","Italy"
"Red","26.12.2024","Drank","2017","Red","Dry","Corvina","Italy"
"Red","25.12.2024","Drank","2019","Red","Dry","Sangiovese Blend","Italy"
"White - Fortified","24.12.2024","Drank","1001","White","Fortified","Bual","Portugal"
"White - Sparkling","24.12.2024","Drank","2014","White","Sparkling","Champagne Blend","France"
"Red","24.12.2024","Drank","2016","Red","Dry","Red Rhone Blend","France"
"Red","24.12.2024","Cooking","2016","Red","Dry","Sangiovese Blend","Italy"
"Red","23.12.2024","Drank","2020","Red","Dry","Pinot Nero","Italy"
"White","22.12.2024","Drank","2020","White","Dry","Chardonnay","France"
"White - Sparkling","21.12.2024","Gifted","1001","White","Sparkling","Champagne Blend","France"
"Red","20.12.2024","Drank","2018","Red","Dry","Nerello Blend","Italy"
"Red","14.12.2024","Missing","2019","Red","Dry","Corvina Blend","Italy"
"Red","14.12.2024","Drank","2020","Red","Dry","Corvina Blend","Italy"
"Red","13.12.2024","Drank","2013","Red","Dry","Sangiovese Blend","Italy"
"Red","7.12.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Ros� - Sparkling","6.12.2024","Drank","1001","Ros�","Sparkling","Champagne Blend","Italy"
"Red","6.12.2024","Drank","2019","Red","Dry","SuperTuscan Blend","Italy"
"White - Sweet/Dessert","6.12.2024","Drank","2017","White","Sweet/Dessert","Zibibbo","Italy"
"Red","5.12.2024","Drank","2016","Red","Dry","Red Bordeaux Blend","France"
"Red","29.11.2024","Drank","2018","Red","Dry","Grenache","France"
"Red","29.11.2024","Cooking","2022","Red","Dry","Red Rhone Blend","France"
"Red","23.11.2024","Drank","2015","Red","Dry","Tempranillo Blend","Spain"
"Red","22.11.2024","Drank","2018","Red","Dry","Carignan Blend","Italy"
"Red","20.11.2024","Drank","2013","Red","Dry","Nebbiolo","Italy"
"Red","16.11.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","15.11.2024","Drank","2013","Red","Dry","Nebbiolo","Italy"
"White","14.11.2024","Drank","2022","White","Dry","Garganega","Italy"
"Red","9.11.2024","Drank","2020","Red","Dry","Corvina Blend","Italy"
"Red","8.11.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","8.11.2024","Drank","2016","Red","Dry","Sangiovese Blend","Italy"
"Red","8.11.2024","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Red","26.10.2024","Drank","2021","Red","Dry","Corvina Blend","Italy"
"Red","25.10.2024","Drank","2021","Red","Dry","Malbec","Argentina"
"Red","12.10.2024","Drank","2022","Red","Dry","Cabernet Franc","France"
"White - Sweet/Dessert","12.10.2024","Drank","2011","White","Sweet/Dessert","Riesling","Germany"
"Red","5.10.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","4.10.2024","Drank","2015","Red","Dry","Red Bordeaux Blend","France"
"Red","28.9.2024","Drank","2013","Red","Dry","Nebbiolo","Italy"
"Red","27.9.2024","Drank","2013","Red","Dry","Corvina Blend","Italy"
"Red","20.9.2024","Drank","2011","Red","Dry","Sangiovese","Italy"
"Red","15.9.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","13.9.2024","Drank","2018","Red","Dry","Red Rhone Blend","France"
"Red","7.9.2024","Drank","2018","Red","Dry","Nero d'Avola","Italy"
"Red","7.9.2024","Drank","2019","Red","Dry","Barbera","Italy"
"White - Sweet/Dessert","7.9.2024","Drank","2017","White","Sweet/Dessert","S�millon-Sauvignon Blanc Blend","France"
"White - Sparkling","7.9.2024","Drank","1001","White","Sparkling","Champagne Blend","France"
"White - Sparkling","7.9.2024","Drank","1001","White","Sparkling","Champagne Blend","France"
"Red","7.9.2024","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Ros�","6.9.2024","Drank","2023","Ros�","Dry","Ros� Blend","France"
"Red","6.9.2024","Drank","2016","Red","Dry","Sangiovese","Italy"
"Red","31.8.2024","Drank","2015","Red","Dry","Corvina Blend","Italy"
"White","30.8.2024","Drank","2020","White","Dry","White Rhone Blend","France"
"Red","24.8.2024","Drank","2018","Red","Dry","Nero d'Avola","Italy"
"Red - Fortified","23.8.2024","Drank","1001","Red","Fortified","Port Blend","Portugal"
"Red","23.8.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","23.8.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"White","23.8.2024","Drank","2021","White","Dry","Riesling","Germany"
"Red","17.8.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","16.8.2024","Drank","2017","Red","Dry","Primitivo","Italy"
"Red","3.8.2024","Drank","2015","Red","Dry","Sangiovese","Italy"
"Red","2.8.2024","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","1.8.2024","Drank","2016","Red","Dry","Sangiovese Blend","Italy"
"White","29.7.2024","Drank","2017","White","Dry","White Rhone Blend","France"
"Red","28.7.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","26.7.2024","Drank","2018","Red","Dry","SuperTuscan Blend","Italy"
"Red","25.7.2024","Drank","2016","Red","Dry","Red Bordeaux Blend","France"
"Red - Sparkling","25.7.2024","Drank","2020","Red","Sparkling","Corvina Blend","Italy"
"Red","24.7.2024","Drank","2020","Red","Dry","Garnacha","Spain"
"Red","22.7.2024","Drank","2017","Red","Dry","Cabernet Sauvignon","Italy"
"Red","21.7.2024","Drank","2019","Red","Dry","Nero d'Avola","Italy"
"White - Sparkling","21.7.2024","Drank","2014","White","Sparkling","Champagne Blend","France"
"Red","19.7.2024","Drank","2018","Red","Dry","Nero d'Avola","Italy"
"Red","17.7.2024","Drank","2020","Red","Dry","Shiraz","Australia"
"Red","17.7.2024","Drank","2019","Red","Dry","Cabernet Sauvignon","USA"
"Ros�","17.7.2024","Drank","2023","Ros�","Dry","Ros� Blend","France"
"Red","16.7.2024","Drank","2022","Red","Dry","Garnacha","Spain"
"White","15.7.2024","Drank","2023","White","Dry","Sauvignon Blanc","New Zealand"
"Red","14.7.2024","Drank","2015","Red","Dry","Tempranillo Blend","Spain"
"Red","13.7.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","12.7.2024","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Red","11.7.2024","Drank","2018","Red","Dry","Red Bordeaux Blend","South Africa"
"White","10.7.2024","Drank","2019","White","Dry","Chardonnay","USA"
"Red","9.7.2024","Drank","2017","Red","Dry","Red Blend","Italy"
"Red","8.7.2024","Drank","2014","Red","Dry","Zinfandel","USA"
"White","7.7.2024","Drank","2020","White","Dry","Riesling","Germany"
"Red","6.7.2024","Drank","2021","Red","Dry","Red Rhone Blend","France"
"Red","22.6.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"White - Sweet/Dessert","21.6.2024","Drank","2016","White","Sweet/Dessert","White Blend","Austria"
"White - Sparkling","21.6.2024","Drank","2022","White","Sparkling","Moscato","Italy"
"Ros�","21.6.2024","Drank","2022","Ros�","Dry","Ros� Blend","France"
"White","19.6.2024","Drank","2019","White","Dry","Sauvignon","Italy"
"Red","14.6.2024","Drank","2019","Red","Dry","Cabernet Sauvignon","USA"
"Red","8.6.2024","Drank","2018","Red","Dry","Corvina Blend","Italy"
"White","7.6.2024","Drank","2020","White","Dry","Chardonnay","France"
"Red","2.6.2024","Drank","2018","Red","Dry","Merlot","France"
"Ros� - Sparkling","1.6.2024","Gifted","2019","Ros�","Sparkling","Pinot Nero","Italy"
"Red","25.5.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","18.5.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","17.5.2024","Drank","2019","Red","Dry","Pinot Nero","Italy"
"Red - Fortified","17.5.2024","Drank","1001","Red","Fortified","Port Blend","Portugal"
"Red","11.5.2024","Drank","2020","Red","Dry","Red Rhone Blend","France"
"Red","8.5.2024","Drank","2021","Red","Dry","Cabernet Franc","France"
"Red","4.5.2024","Drank","2021","Red","Dry","Corvina Blend","Italy"
"Red","3.5.2024","Drank","2016","Red","Dry","Sangiovese","Italy"
"Red","30.4.2024","Drank","2018","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","27.4.2024","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","26.4.2024","Drank","2017","Red","Dry","Nero d'Avola","Italy"
"Red","19.4.2024","Drank","2019","Red","Dry","Nebbiolo","Italy"
"White","19.4.2024","Drank","2022","White","Dry","Garganega","Italy"
"Red","13.4.2024","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","13.4.2024","Drank","2013","Red","Dry","Corvina Blend","Italy"
"Red","12.4.2024","Drank","2016","Red","Dry","Red Bordeaux Blend","Italy"
"Red","6.4.2024","Drank","2016","Red","Dry","Corvina","Italy"
"Red","5.4.2024","Drank","2015","Red","Dry","Red Bordeaux Blend","Italy"
"Red","31.3.2024","Drank","2016","Red","Dry","Nerello Blend","Italy"
"Red","30.3.2024","Drank","2015","Red","Dry","Tempranillo Blend","Spain"
"Red","29.3.2024","Drank","2016","Red","Dry","Cabernet Sauvignon","Italy"
"Red","29.3.2024","Drank","2015","Red","Dry","Red Bordeaux Blend","France"
"White","28.3.2024","Drank","2017","White","Dry","Chardonnay","France"
"Red","23.3.2024","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","22.3.2024","Drank","2010","Red","Dry","Sangiovese","Italy"
"White - Sweet/Dessert","16.3.2024","Drank","2018","White","Sweet/Dessert","Zibibbo","Italy"
"Red","16.3.2024","Drank","2018","Red","Dry","Cabernet Sauvignon","USA"
"Red","16.3.2024","Drank","2018","Red","Dry","Zinfandel","USA"
"White - Fortified","16.3.2024","Drank","1001","White","Fortified","Palomino Fino","Spain"
"Red","15.3.2024","Drank","2015","Red","Dry","Sangiovese","Italy"
"Red","8.3.2024","Drank","2011","Red","Dry","Tempranillo Blend","Spain"
"Red","3.3.2024","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Ros� - Sparkling","2.3.2024","Drank","2018","Ros�","Sparkling","Pinot Nero","Italy"
"Red","2.3.2024","Drank","2017","Red","Dry","Nero d'Avola","Italy"
"Red","1.3.2024","Drank","2018","Red","Dry","Carignan Blend","Italy"
"Red","16.2.2024","Drank","2022","Red","Dry","Red Rhone Blend","France"
"Red","10.2.2024","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","9.2.2024","Drank","2019","Red","Dry","Primitivo","Italy"
"Red","3.2.2024","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","1.2.2024","Drank","2018","Red","Dry","Merlot","France"
"Red","27.1.2024","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","26.1.2024","Drank","2018","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","20.1.2024","Drank","2015","Red","Dry","Corvina Blend","Italy"
"Red","19.1.2024","Drank","2018","Red","Dry","Red Rhone Blend","France"
"Red","13.1.2024","Drank","2020","Red","Dry","Malbec","Argentina"
"Red","13.1.2024","Drank","2019","Red","Dry","Malbec","Argentina"
"Red","12.1.2024","Drank","2016","Red","Dry","Red Bordeaux Blend","France"
"Red","6.1.2024","Drank","2016","Red","Dry","Corvina Blend","Italy"
"Red","5.1.2024","Drank","2015","Red","Dry","Pinot Noir","France"
"Red","4.1.2024","Drank","2016","Red","Dry","Nerello Mascalese","Italy"
"Red","1.1.2024","Drank","2018","Red","Dry","Merlot","France"
"White - Sparkling","31.12.2023","Drank","1001","White","Sparkling","Champagne Blend","France"
"Ros� - Sparkling","31.12.2023","Drank","1001","Ros�","Sparkling","Champagne Blend","France"
"White","31.12.2023","Drank","2022","White","Dry","Albari�o","Spain"
"Red","31.12.2023","Drank","2013","Red","Dry","Nebbiolo","Italy"
"Red","28.12.2023","Drank","2013","Red","Dry","Nebbiolo","Italy"
"Red","27.12.2023","Drank","2015","Red","Dry","Sangiovese Blend","Italy"
"Red","26.12.2023","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","25.12.2023","Drank","2016","Red","Dry","Tempranillo","Spain"
"White - Sparkling","24.12.2023","Drank","1001","White","Sparkling","Champagne Blend","France"
"Red","24.12.2023","Drank","2010","Red","Dry","Red Rhone Blend","France"
"Ros� - Sparkling","24.12.2023","Drank","1001","Ros�","Sparkling","Champagne Blend","Italy"
"Red - Fortified","24.12.2023","Drank","1001","Red","Fortified","Port Blend","Portugal"
"Red","23.12.2023","Drank","2013","Red","Dry","Sangiovese","Italy"
"Red","23.12.2023","Cooking","2016","Red","Dry","Sangiovese Blend","Italy"
"Red","22.12.2023","Drank","2016","Red","Dry","Grenache Blend","Spain"
"White","22.12.2023","Drank","2021","White","Dry","Riesling","Germany"
"Red","16.12.2023","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","15.12.2023","Drank","2012","Red","Dry","Nebbiolo","Italy"
"Red","9.12.2023","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","8.12.2023","Drank","2014","Red","Dry","Nebbiolo","Italy"
"White - Sweet/Dessert","6.12.2023","Drank","2011","White","Sweet/Dessert","Riesling","Germany"
"Ros� - Sparkling","6.12.2023","Drank","1001","Ros�","Sparkling","Champagne Blend","Italy"
"White","5.12.2023","Cooking","2020","White","Dry","Pinot Grigio","Italy"
"Red","5.12.2023","Drank","2016","Red","Dry","Sangiovese Blend","Italy"
"Red","2.12.2023","Drank","2016","Red","Dry","Corvina","Italy"
"Red","1.12.2023","Drank","2018","Red","Dry","Barbera","Italy"
"Red","25.11.2023","Drank","2013","Red","Dry","Corvina Blend","Italy"
"Red","24.11.2023","Drank","2014","Red","Dry","Nero d'Avola","Italy"
"White","4.11.2023","Drank","2019","White","Dry","Chenin Blanc","France"
"Red","3.11.2023","Drank","2019","Red","Dry","Tempranillo","Spain"
"Red","27.10.2023","Drank","2018","Red","Dry","Red Bordeaux Blend","South Africa"
"Red","21.10.2023","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","20.10.2023","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","14.10.2023","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Red","13.10.2023","Drank","2020","Red","Dry","Red Rhone Blend","France"
"White","7.10.2023","Drank","2020","White","Dry","Sauvignon Blanc","France"
"White","7.10.2023","Drank","2016","White","Dry","Riesling","France"
"Red","7.10.2023","Drank","2012","Red","Dry","Red Rhone Blend","France"
"Red","6.10.2023","Drank","2021","Red","Dry","Red Bordeaux Blend","France"
"Red","30.9.2023","Drank","2016","Red","Dry","Corvina","Italy"
"Red","29.9.2023","Drank","2015","Red","Dry","Tempranillo Blend","Spain"
"Red","23.9.2023","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","23.9.2023","Drank","2013","Red","Dry","Sangiovese","Italy"
"Red","16.9.2023","Drank","2013","Red","Dry","Nebbiolo","Italy"
"Red","10.9.2023","Drank","2017","Red","Dry","Corvina Blend","Italy"
"Red","8.9.2023","Drank","2018","Red","Dry","Grenache","France"
"Red","1.9.2023","Drank","2018","Red","Dry","Pinot Noir","New Zealand"
"Red","26.8.2023","Drank","2013","Red","Dry","Corvina Blend","Italy"
"Red","25.8.2023","Drank","2013","Red","Dry","Aglianico","Italy"
"Red","19.8.2023","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","18.8.2023","Drank","2016","Red","Dry","Nero d'Avola","Italy"
"Red","8.8.2023","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","6.8.2023","Drank","2019","Red","Dry","Cabernet Sauvignon","USA"
"Red","5.8.2023","Drank","2013","Red","Dry","Sangiovese Blend","Italy"
"Red","4.8.2023","Drank","2015","Red","Dry","Red Bordeaux Blend","South Africa"
"White - Sparkling","4.8.2023","Drank","1001","White","Sparkling","Champagne Blend","France"
"White","3.8.2023","Drank","2020","White","Dry","Chardonnay","France"
"Red","2.8.2023","Drank","2015","Red","Dry","Red Rhone Blend","France"
"White - Off-dry","31.7.2023","Drank","2020","White","Dry","Riesling","Germany"
"Red - Sparkling","31.7.2023","Drank","2020","Red","Sparkling","Brachetto","Italy"
"Ros�","31.7.2023","Missing","2021","Ros�","Dry","Ros� Blend","France"
"Red","31.7.2023","Drank","2019","Red","Dry","Corvina Blend","Italy"
"Ros� - Sparkling","31.7.2023","Drank","2018","Ros�","Sparkling","Pinot Nero","Italy"
"Red","31.7.2023","Drank","2020","Red","Dry","Corvina Blend","Italy"
"White","30.7.2023","Drank","2020","White","Dry","Riesling","USA"
"Red","29.7.2023","Drank","2019","Red","Dry","Red Bordeaux Blend","France"
"Red","28.7.2023","Drank","2017","Red","Dry","Carignan Blend","Italy"
"Red","27.7.2023","Drank","2018","Red","Dry","Corvina Blend","Italy"
"Red","26.7.2023","Drank","2012","Red","Dry","SuperTuscan Blend","Italy"
"White - Sparkling","23.7.2023","Drank","1001","White","Sparkling","Champagne Blend","France"
"Red","23.7.2023","Drank","2017","Red","Dry","Zinfandel","USA"
"White","22.7.2023","Drank","2020","White","Dry","Pinot Grigio","Italy"
"Red","22.7.2023","Drank","2011","Red","Dry","Nebbiolo","Italy"
"Red","21.7.2023","Drank","2012","Red","Dry","Corvina Blend","Italy"
"Red","20.7.2023","Drank","2018","Red","Dry","Red Rhone Blend","France"
"Red","17.7.2023","Drank","2015","Red","Dry","Nerello Blend","Italy"
"White","16.7.2023","Drank","2020","White","Dry","Riesling","Germany"
"Red","15.7.2023","Drank","2012","Red","Dry","Tempranillo Blend","Spain"
"Red","14.7.2023","Drank","2020","Red","Dry","Corvina Blend","Italy"
"White","13.7.2023","Drank","2018","White","Dry","Sauvignon","Italy"
